experiment,group,recall_at_10_all_valid_users,recall_at_10_target_overlap_users,time_sec,notes
LightGCN + LightGCN_popular_negatives alpha=0.2,blend_LightGCN_popular_negatives,0.011939658208314925,0.012133592736705577,5.0834949016571045,rrf score blend with alpha=0.2
LightGCN + LightGCN_time_graph alpha=0.15,blend_LightGCN_time_graph,0.011705308720234094,0.012090358841331604,5.196325778961182,rrf score blend with alpha=0.15
LightGCN + SASRec alpha=0.05,blend_SASRec,0.011571592914876496,0.012055771725032425,4.533716201782227,rrf score blend with alpha=0.05
LightGCN + SASRec alpha=0.075,blend_SASRec,0.011571592914876496,0.012055771725032425,4.4981160163879395,rrf score blend with alpha=0.075
LightGCN + SASRec alpha=0.1,blend_SASRec,0.011571592914876496,0.012055771725032425,4.612371206283569,rrf score blend with alpha=0.1
LightGCN + SASRec alpha=0.035,blend_SASRec,0.01152677197453317,0.012055771725032425,4.398197174072266,rrf score blend with alpha=0.035
LightGCN + LightGCN_time_graph alpha=0.1,blend_LightGCN_time_graph,0.01144385323489801,0.012003891050583658,4.969287872314453,rrf score blend with alpha=0.1
LightGCN + SASRec alpha=0.3,blend_SASRec,0.01172286358853523,0.011958495460440985,4.478018045425415,rrf score blend with alpha=0.3
LightGCN + itemknn_cosine alpha=0.075,blend_itemknn_cosine,0.011878616356228295,0.011861219195849546,4.137389183044434,rrf score blend with alpha=0.075
LightGCN + itemknn_cosine alpha=0.2,blend_itemknn_cosine,0.01177702222478342,0.011796368352788588,4.027868986129761,rrf score blend with alpha=0.2
LightGCN + itemknn_cosine alpha=0.1,blend_itemknn_cosine,0.011851723792022298,0.011744487678339818,4.029316425323486,rrf score blend with alpha=0.1
LightGCN + LightGCN_popular_negatives alpha=0.05,blend_LightGCN_popular_negatives,0.011744153535198311,0.011666666666666665,5.061157703399658,rrf score blend with alpha=0.05
LightGCN + LightGCN_time_graph alpha=0.2,blend_LightGCN_time_graph,0.011826165184374139,0.01166234327712927,5.062664031982422,rrf score blend with alpha=0.2
