epoch,loss,seconds
1,4.391256506601745,4.184178113937378
2,4.238542894042889,4.129438161849976
3,4.095714362280745,4.181039094924927
4,4.034147302584901,4.092453718185425
5,4.009479537378123,3.997283935546875
6,3.989038239286075,4.025998830795288
7,3.9909793666996616,4.017427444458008
8,3.9791752171147228,4.003129005432129
9,3.978997115038719,4.0215301513671875
10,3.9671836046188664,3.985990047454834
11,3.9508679526228865,3.9738056659698486
12,3.962128697524195,3.961036443710327
13,3.9426713988415676,3.9509613513946533
14,3.9550420458854183,3.956618070602417
15,3.9517531830101067,3.9801902770996094
16,3.9217886368324946,3.993818759918213
17,3.929131607271584,3.996633291244507
18,3.9144434722104027,3.967759132385254
19,3.9013488157954512,3.9796271324157715
20,3.8526132272549605,4.017611503601074
21,3.8135172588064647,3.9820334911346436
22,3.782120128352562,4.033774375915527
23,3.7429434858916975,4.0471673011779785
24,3.715487242081581,4.044740676879883
25,3.700275260780393,4.1673266887664795
26,3.6876742587058193,3.9933176040649414
27,3.6658399444918683,3.9887773990631104
28,3.6465988215031926,3.9796104431152344
29,3.6277761792570713,3.9728121757507324
30,3.6036448063435773,3.992443561553955
31,3.5872480798820523,3.9666035175323486
32,3.573794069427741,3.9583775997161865
33,3.5603527374627726,4.021548748016357
34,3.554244398413345,4.0179479122161865
35,3.539589976330378,4.025152683258057
36,3.5113099708751507,4.032253742218018
37,3.5020140222401426,4.035528898239136
38,3.492201685542575,4.009457349777222
39,3.487040699135722,4.039252996444702
40,3.4625724439359695,4.0338451862335205
41,3.440989359005646,3.990445375442505
42,3.4457860458521448,4.000023126602173
43,3.404759478978193,4.011252403259277
44,3.4074717603941718,4.03436803817749
45,3.3849591590280372,3.987849712371826
46,3.3838002513123637,4.004146337509155
47,3.3730167790168584,4.099734544754028
48,3.3646406402247937,4.136883497238159
49,3.3636044407782824,4.113177537918091
50,3.325897986001035,4.148854732513428
51,3.3205719322732694,4.341023683547974
52,3.2862679986637766,4.063596725463867
53,3.27021359748359,4.013235807418823
54,3.273386124609092,4.02213191986084
55,3.253163167931445,4.040512800216675
56,3.225286460161556,4.038313150405884
57,3.2114756187374676,4.061451435089111
58,3.2153051708153444,4.152517318725586
59,3.1884489348701823,4.196261405944824
60,3.1696293645286486,4.178506135940552
61,3.1646434871805527,4.135190010070801
62,3.1595765103122924,3.9924895763397217
63,3.1447655112898945,3.978416681289673
64,3.1247634306663756,3.9704179763793945
65,3.11339489815279,4.020688533782959
66,3.107479847129118,3.9218485355377197
67,3.108515593835924,3.7475345134735107
68,3.0782762895101863,4.001685619354248
69,3.0589776674429583,3.7552170753479004
70,3.0638800919458262,3.723127841949463
71,3.0401223251846643,3.6983699798583984
72,3.0426335250210603,3.6847872734069824
73,3.042181718184845,3.6887950897216797
74,3.025090851003083,3.701094150543213
75,3.0057562393531456,3.694413185119629
76,2.992285099038797,3.6904079914093018
77,2.971798392562708,3.8581864833831787
78,2.9613751900728826,3.713651180267334
79,2.9573870354705964,3.7261247634887695
80,2.950381835736474,3.726895332336426
81,2.928735846093563,3.6843037605285645
82,2.922733235370762,3.6832714080810547
83,2.922562980018653,3.6900742053985596
84,2.9069258628495502,3.683389902114868
85,2.9057893781240836,3.6835784912109375
86,2.902424820752581,3.6984329223632812
87,2.9074334419625107,3.6908717155456543
88,2.8810377818230584,3.6848485469818115
89,2.8632138392635693,3.6937062740325928
90,2.8545802390564363,3.683046340942383
91,2.8530670241242593,3.6897830963134766
92,2.8357329864634906,3.98598575592041
93,2.823251294969813,4.18477201461792
94,2.829565977163538,4.1842076778411865
95,2.8225771710602015,4.109750270843506
96,2.8446920911514875,4.005032062530518
97,2.8058751717334065,4.08806300163269
98,2.810137377947762,4.176454305648804
99,2.7986540445585333,4.225048303604126
100,2.7767662208407518,4.004378795623779
