Recall@10,NDCG@10,num_eval_users,score_mode,alpha
0.0140464024792383,0.008133413932935629,7437,cosine,0.2
0.013997099444860637,0.008100217882527226,7437,cosine,0.1
0.013747382777233521,0.008098779779550582,7437,cosine,0.05
0.013702561836890195,0.00806964918786209,7437,cosine,0.0
0.013657740896546866,0.008051409040836078,7437,cosine,0.02
0.013347515959456258,0.0081248491006376,7437,dot,0.2
0.013340792818404758,0.008128823724164262,7437,dot,0.0
0.01329597187806143,0.008111378677682437,7437,dot,0.02
0.013273561407889765,0.008104471440710694,7437,dot,0.1
0.013228740467546437,0.008090103075191852,7437,dot,0.05
