experiment,group,recall_at_10_all_valid_users,recall_at_10_target_overlap_users,time_sec,notes
LightGCN + recent_pop_180d alpha=0.6,blend_recent_pop_180d,0.017658596763074377,0.02329720214934223,4.931057691574097,rrf score blend with alpha=0.6
LightGCN + recent_pop_180d alpha=0.5,blend_recent_pop_180d,0.01930581967895401,0.021400469396578345,4.787587642669678,rrf score blend with alpha=0.5
LightGCN + recent_pop_180d alpha=0.7,blend_recent_pop_180d,0.016697987966644682,0.020949601630535483,4.937686443328857,rrf score blend with alpha=0.7
LightGCN + recent_pop_180d alpha=0.85,blend_recent_pop_180d,0.01386775901701275,0.02026341794824285,4.922540664672852,rrf score blend with alpha=0.85
LightGCN + recent_pop_365d alpha=0.6,blend_recent_pop_365d,0.016538660195376614,0.019605027484404916,8.010747194290161,rrf score blend with alpha=0.6
LightGCN + recent_pop_180d alpha=0.45,blend_recent_pop_180d,0.018678006364573528,0.019214069544808844,4.803200006484985,rrf score blend with alpha=0.45
LightGCN + recent_pop_365d alpha=0.45,blend_recent_pop_365d,0.01753245783096529,0.018876845160891855,6.778216361999512,rrf score blend with alpha=0.45
LightGCN + recent_pop_365d alpha=0.5,blend_recent_pop_365d,0.01719918212455526,0.01864523500710271,8.328674793243408,rrf score blend with alpha=0.5
LightGCN + recent_pop_365d alpha=0.7,blend_recent_pop_365d,0.015428594906206846,0.018234513001049963,7.427854061126709,rrf score blend with alpha=0.7
LightGCN + recent_pop_180d alpha=0.4,blend_recent_pop_180d,0.018445310982624415,0.018228336730282256,4.811954498291016,rrf score blend with alpha=0.4
recent_pop_180d,standalone_signal,0.012216480873197292,0.0174424062750911,0.9211270809173584,Timestamp-only recent popularity.
LightGCN + recent_pop_180d alpha=1,blend_recent_pop_180d,0.012216480873197292,0.0174424062750911,4.895647287368774,rrf score blend with alpha=1.0
LightGCN + recent_pop_180d alpha=0.35,blend_recent_pop_180d,0.01781861819175252,0.01698320054351183,4.852779388427734,rrf score blend with alpha=0.35
LightGCN + category_pop_365d alpha=0.45,blend_category_pop_365d,0.014426259948648006,0.016872027669693042,8.176989793777466,rrf score blend with alpha=0.45
LightGCN + category_pop_365d alpha=0.4,blend_category_pop_365d,0.014866625687521208,0.01659965412883701,7.522054672241211,rrf score blend with alpha=0.4
LightGCN + category_pop_365d alpha=0.35,blend_category_pop_365d,0.014533083189799607,0.016444012105490704,7.621884107589722,rrf score blend with alpha=0.35
LightGCN + recent_pop_180d alpha=0.3,blend_recent_pop_180d,0.01732558784797591,0.01620499042678031,4.991302490234375,rrf score blend with alpha=0.3
LightGCN + recent_pop_365d alpha=0.35,blend_recent_pop_365d,0.016869534779982542,0.016127169415107157,6.974208354949951,rrf score blend with alpha=0.35
LightGCN + recent_pop_365d alpha=0.4,blend_recent_pop_365d,0.01679664739366232,0.01608825890927058,7.715447902679443,rrf score blend with alpha=0.4
LightGCN + category_pop_365d alpha=0.5,blend_category_pop_365d,0.012906243130123729,0.016026805015131863,8.008555173873901,rrf score blend with alpha=0.5
